,repository_name,language
0,app-store-server-library-java,Java
1,app-store-server-library-node,TypeScript
2,app-store-server-library-python,Python
3,app-store-server-library-swift,Swift
4,apple-llvm-infrastructure-tools,C++
5,apple_rules_lint,Starlark
6,ARKitScenes,Python
7,AudioUnit-Examples,Swift
8,AudioUnitSDK,C++
9,axlearn,Python
10,batch-processing-gateway,Java
11,ccs-caldavclientlibrary,HTML
12,ccs-caldavtester,Python
13,ccs-calendarserver,Python
14,ccs-pycalendar,Python
15,ccs-pykerberos,C
16,ccs-pyopendirectory,C++
17,ccs-pyosxframeworks,Python
18,ccs-pysecuretransport,Python
19,ccs-twistedextensions,Python
20,coremltools,Python
21,corenet,Python
22,cups,C
23,darwin-libplatform,C
24,darwin-libpthread,C
25,darwin-xnu,C
26,device-management,
27,dnikit,Python
28,example-package-dealer,Swift
29,example-package-deckofplayingcards,Swift
30,example-package-figlet,Swift
31,example-package-fisheryates,Swift
32,example-package-playingcard,Swift
33,FHIRModels,Swift
34,foundationdb,C++
35,fstools,C
36,game-center-tools,Python
37,GCGC,Jupyter Notebook
38,homebrew-apple,Ruby
39,HomeKitADK,C
40,learning-compressible-subspaces,Python
41,learning-subspaces,Python
42,live-caller-id-lookup-example,Swift
43,llvm-monorepo-root,
44,llvm-project-v5,C++
45,llvm-project-v5-split,C++
46,MaterialX,
47,ml-4m,Python
48,ml-afv,Python
49,ml-agm,Python
50,ml-aim,Python
51,ml-all-pairs,Python
52,ml-ane-transformers,Python
53,ml-aspanformer,Python
54,ml-aura,Python
55,ml-autofocusformer,Python
56,ml-autofocusformer-segmentation,Python
57,ml-batchquant,Python
58,ml-behavioral-testing-for-mt,
59,ml-calibration,Jupyter Notebook
60,ml-capsules-inverted-attention-routing,Python
61,ml-cifar-10-faster,Python
62,ml-code-switched-speech-translation,Python
63,ml-codeswitching-translations,
64,ml-collegial-ensembles,Python
65,ml-core,Python
66,ml-covid-mobility,R
67,ml-cread,Python
68,ml-cvnets,Python
69,ml-cvpr2019-swd,Python
70,ml-dab,Python
71,ml-data-parameters,Python
72,ml-delphi,
73,ml-destseg,Python
74,ml-direct2.5,Python
75,ml-dms-dataset,Python
76,ml-dprecs,Jupyter Notebook
77,ml-dr,Python
78,ml-duet,Python
79,ml-entity-deduction-arena,Python
80,ml-entropy-reconstruction,Python
81,ml-envmapnet,Python
82,ml-equivariant-neural-rendering,Jupyter Notebook
83,ml-facelit,Python
84,ml-famae,Python
85,ml-fastvit,Python
86,ml-fct,Python
87,ml-ferret,Python
88,ml-finerecon,Python
89,ml-flair,Jupyter Notebook
90,ml-gaudi,
91,ml-gmpi,Python
92,ml-gsn,Python
93,ml-hd-gist,Python
94,ml-heart-rate-models,Python
95,ml-hierarchical-confusion-matrix,TypeScript
96,ml-hugs,Python
97,ml-hypersim,Python
98,ml-interspeech2022-phi_rtn,
99,ml-jointnet,Python
100,ml-keyframer,JavaScript
101,ml-kge,Python
102,ml-knowledge-conflicts,Python
103,ml-live-pose,
104,ml-llarp,Python
105,ml-lucid-datagen,Python
106,ml-mgie,Python
107,ml-mkqa,Python
108,ml-mobileclip,Python
109,ml-mobileone,Swift
110,ml-mofi,Python
111,ml-multiple-futures-prediction,Python
112,ml-ncg,Python
113,ml-neilf,Python
114,ml-neilfpp,Python
115,ml-neuman,Python
116,ml-no-token-left-behind,Jupyter Notebook
117,ml-np-rasp,Python
118,ml-nvas3d,Python
119,ml-ogen,Python
120,ml-pgdvs,Python
121,ml-planner,Python
122,ml-pointconvformer,Python
123,ml-pointersect,Python
124,ml-probabilistic-attention,Python
125,ml-projunit,Python
126,ml-qrecc,Python
127,ml-quant,Python
128,ml-recurrent-drafter,Python
129,ml-reed,Python
130,ml-rlgrad,Python
131,ml-robust-expert-augmentations,Python
132,ml-rpm-bench,Python
133,ml-sad,Python
134,ml-selfcond,Python
135,ml-shuffling-amplification,Python
136,ml-sigma-reparam,Python
137,ml-spatial-librispeech,
138,ml-spin,Python
139,ml-stable-diffusion,Python
140,ml-stabledreamer,
141,ml-stuttering-events-dataset,Python
142,ml-superposition-prompting,Python
143,ml-symphony,Svelte
144,ml-tic-clip,Python
145,ml-tract,Python
146,ml-transcript-translation-consistency-ratings,
147,ml-translate-vis,TypeScript
148,ml-tree-dst,Python
149,ml-tune-mode-convbn,Python
150,ml-tweak,Python
151,ml-upscale,Jupyter Notebook
152,ml-uwac,Python
153,ml-veclip,Jupyter Notebook
154,ml-vfi-smiff,Python
155,ml-vfm-kt,
156,ml-vision-transformers-ane,Python
157,music-feed-examples,Java
158,openjdk,Java
159,password-manager-resources,JavaScript
160,pfl-research,Jupyter Notebook
161,pkl,Java
162,pkl-evolution,
163,pkl-go,Go
164,pkl-go-examples,Go
165,pkl-intellij,Kotlin
166,pkl-jvm-examples,Groovy
167,pkl-k8s,Pkl
168,pkl-k8s-examples,
169,pkl-lang.org,JavaScript
170,pkl-neovim,Scheme
171,pkl-package-docs,Kotlin
172,pkl-pantry,Pkl
173,pkl-project-commons,
174,pkl-spring,Java
175,pkl-swift,Swift
176,pkl-swift-examples,Swift
177,pkl-vscode,TypeScript
178,pkl.tmbundle,
179,pytorch-speech-features,Python
180,rules_pkl,Starlark
181,sample-backyard-birds,Swift
182,sample-cloudkit-coredatasync,Swift
183,sample-cloudkit-encryption,Swift
184,sample-cloudkit-privatedb,Swift
185,sample-cloudkit-privatedb-sync,Swift
186,sample-cloudkit-queries,Swift
187,sample-cloudkit-sharing,Swift
188,sample-cloudkit-sync-engine,Swift
189,sample-cloudkit-tooling,JavaScript
190,sample-cloudkit-zonesharing,Swift
191,sample-food-truck,Swift
192,servicetalk,Java
193,swift-3-api-guidelines-review,Swift
194,swift-algorithms,Swift
195,swift-aoc-starter-example,Swift
196,swift-argument-parser,Swift
197,swift-asn1,Swift
198,swift-async-algorithms,Swift
199,swift-async-dns-resolver,Swift
200,swift-atomics,Swift
201,swift-cassandra-client,Swift
202,swift-certificates,Swift
203,swift-clang,C++
204,swift-clang-tools-extra,C++
205,swift-cluster-membership,Swift
206,swift-cmake-examples,CMake
207,swift-collections,Swift
208,swift-collections-benchmark,Swift
209,swift-compiler-rt,C
210,swift-corelibs-foundation,C
211,swift-corelibs-libdispatch,C
212,swift-corelibs-xctest,Swift
213,swift-crypto,C
214,swift-distributed-actors,Swift
215,swift-distributed-tracing,Swift
216,swift-distributed-tracing-baggage-core,Swift
217,swift-distributed-tracing-extras,Swift
218,swift-embedded-examples,Swift
219,swift-evolution-staging,Swift
220,swift-for-wasm-examples,Swift
221,swift-foundation,Swift
222,swift-foundation-icu,C
223,swift-getting-started-cli,Swift
224,swift-getting-started-package-library,Swift
225,swift-homomorphic-encryption,Swift
226,swift-homomorphic-encryption-protobuf,
227,swift-http-structured-headers,Swift
228,swift-http-types,Swift
229,swift-internals,HTML
230,swift-issues,
231,swift-libcxx,C++
232,swift-llbuild2,Swift
233,swift-lldb,C++
234,swift-llvm,LLVM
235,swift-log,Swift
236,swift-matter-examples,Swift
237,swift-metrics,Swift
238,swift-metrics-extras,Swift
239,swift-migration-guide,Markdown
240,swift-mmio,Swift
241,swift-nio,Swift
242,swift-nio-examples,Swift
243,swift-nio-extras,Swift
244,swift-nio-http2,Swift
245,swift-nio-imap,Swift
246,swift-nio-nghttp2-support,Swift
247,swift-nio-ssh,Swift
248,swift-nio-ssl,C
249,swift-nio-ssl-support,Swift
250,swift-nio-transport-services,Swift
251,swift-nio-zlib-support,Swift
252,swift-numerics,Swift
253,swift-openapi-generator,Swift
254,swift-openapi-runtime,Swift
255,swift-openapi-urlsession,Swift
256,swift-playdate-examples,Swift
257,swift-protobuf,Swift
258,swift-protobuf-plugin,
259,swift-protobuf-test-conformance,
260,swift-sample-distributed-actors-transport,Swift
261,swift-service-context,Swift
262,swift-service-discovery,Swift
263,swift-standard-library-preview,Swift
264,swift-statsd-client,Swift
265,swift-string-processing-benchmarks,Swift
266,swift-system,Swift
267,swift-testing,Swift
268,swift-tools-support-async,Swift
269,swift-xcode-playground-support,Swift
270,swiftpm-on-llbuild2,Swift
271,tensorflow_macos,Shell
272,tree-sitter-pkl,C
273,turicreate,C++
274,unityplugins,C#
275,VideoFlashingReduction,Mathematica
276,vqg-multimodal-assistant,Python
